director_name,actor_1_name,actor_2_name,actor_3_name,genres,language,imdb_score,movie_title
Rob Letterman,Odeya Rush,Dylan Minnette,Ken Marino,Adventure Comedy Family Fantasy Horror,English,6.4,goosebumps
unknown,Nate Richert,Soleil Moon Frye,Caroline Rhea,Comedy Family Fantasy,English,6.6,"sabrina, the teenage witch            "
Mark Waters,Jon Heder,Ivana Milicevic,Willie Garson,Comedy Fantasy Romance,English,6.7,just like heaven
Brian Levant,Taylor Negron,Mark Addy,Danny Woodburn,Comedy Family Romance Sci-Fi,English,3.6,the flintstones in viva rock vegas
Peter MacDonald,Sylvester Stallone,Kurtwood Smith,Richard Crenna,Action Adventure Thriller War,English,5.7,rambo iii
George Clooney,Robert Baker,Malcolm Goodwin,Matt Bushell,Comedy Drama Romance Sport,English,6.0,leatherheads
Frank Coraci,Taylor Lautner,Adam Sandler,Jon Lovitz,Comedy Western,English,4.9,the ridiculous 6
Marc Lawrence,Michael Kelly,Kim Shaw,Kevin Brown,Comedy Drama Romance,English,4.7,did you hear about the morgans?
Shawn Levy,Josh Gad,Jessica Szohr,Rob Riggle,Comedy,English,6.3,the internship
Paul W.S. Anderson,Milla Jovovich,Boris Kodjoe,Shawn Roberts,Action Adventure Horror Sci-Fi,English,5.9,resident evil: afterlife
Anthony Hemingway,David Oyelowo,Nate Parker,Tristan Mack Wilds,Action Adventure Drama History War,English,5.9,red tails
unknown,Chris Noth,Kristin Davis,Cynthia Nixon,Comedy Romance,English,7.0,sex and the city            
Taylor Hackford,Keanu Reeves,Al Pacino,Charlize Theron,Drama Mystery Thriller,English,7.5,the devil's advocate
Sean Anders,Adam Sandler,Leighton Meester,Will Forte,Comedy,English,5.6,that's my boy
Rob Cohen,Dennis Quaid,Brian Thompson,Terry O'Neill,Action Adventure Fantasy,English,6.4,dragonheart
Brett Ratner,Salma Hayek,Don Cheadle,Chris Penn,Action Comedy Crime Drama,English,6.3,after the sunset
Mark Neveldine,Nicolas Cage,Spencer Wilding,Christopher Lambert,Action Fantasy Thriller,English,4.3,ghost rider: spirit of vengeance
John Madden,Christian Bale,Irene Papas,Mihalis Giannatos,Drama Music Romance War,English,5.9,captain corelli's mandolin
unknown,Barry Corbin,Noureen DeWulf,Brian Austin Green,Comedy Romance,English,6.7,anger management            
Adam Shankman,Vin Diesel,Brad Garrett,Tate Donovan,Action Comedy Drama Family Thriller,English,5.5,the pacifier
Kevin Bray,Dwayne Johnson,Ashley Scott,Michael Bowen,Action Crime,English,6.2,walking tall
Robert Zemeckis,Tom Hanks,Siobhan Fallon Hogan,Sam Anderson,Comedy Drama,English,8.8,forrest gump
Tim Hill,Jesse McCartney,Beth Riesgraf,Matthew Gray Gubler,Animation Comedy Family Fantasy Music,English,5.2,alvin and the chipmunks
Jay Roach,Robert De Niro,Blythe Danner,Teri Polo,Comedy,English,7.0,meet the parents
Mike Gabriel,Christian Bale,Frank Welker,Irene Bedard,Adventure Animation Drama Family History Musical Romance,English,6.6,pocahontas
Richard Donner,Marlon Brando,Margot Kidder,Ned Beatty,Action Adventure Drama Romance Sci-Fi,English,7.3,superman
Tom Shadyac,Jada Pinkett Smith,James Coburn,Dave Chappelle,Comedy Romance Sci-Fi,English,5.6,the nutty professor
Andy Tennant,Will Smith,Michael Rapaport,Kevin Sussman,Comedy Romance,English,6.6,hitch
Sam Weisman,Brendan Fraser,Abraham Benrubi,Holland Taylor,Action Adventure Comedy Family Romance,English,5.4,george of the jungle
Jesse Dylan,Alyson Hannigan,Thomas Ian Nicholas,Fred Willard,Comedy Romance,English,6.3,american wedding
Paul Greengrass,Tom Hanks,Chris Mulkey,Michael Chernus,Biography Drama Thriller,English,7.9,captain phillips
Shawn Levy,Mila Kunis,James Franco,Steve Carell,Comedy Crime Romance Thriller,English,6.3,date night
Brad Silberling,Eric Idle,Fred Rogers,Cathy Moriarty,Comedy Family Fantasy,English,6.0,casper
Antoine Fuqua,Denzel Washington,Chloë Grace Moretz,James Wilcox,Action Crime Thriller,English,7.2,the equalizer
Wayne Wang,Bob Hoskins,Frances Conroy,Natasha Richardson,Comedy Drama Romance,English,5.1,maid in manhattan
Tony Scott,Denzel Washington,Viggo Mortensen,Ricky Schroder,Action Drama Thriller War,English,7.3,crimson tide
Gabriele Muccino,Will Smith,Kurt Fuller,James Karen,Biography Drama,English,8.0,the pursuit of happyness
Robert Schwentke,Erika Christensen,Michael Irby,Haley Ramm,Drama Mystery Thriller,English,6.2,flightplan
Barry Levinson,Demi Moore,Dylan Baker,Roma Maffia,Drama Thriller,English,6.0,disclosure
Brad Silberling,Nicolas Cage,Andre Braugher,Colm Feore,Drama Fantasy Romance,English,6.7,city of angels
Quentin Tarantino,David Carradine,Vivica A. Fox,Chiaki Kuriyama,Action,English,8.1,kill bill: vol. 1
Frank Oz,Robert Downey Jr.,Adam Alexi-Malle,Jamie Kennedy,Comedy,English,6.4,bowfinger
unknown,Christopher Judge,Don S. Davis,Gary Jones,Action Adventure Drama Sci-Fi,English,8.4,stargate sg-1            
Quentin Tarantino,Vivica A. Fox,Michael Parks,Michael Bowen,Action Crime Drama Thriller,English,8.0,kill bill: vol. 2
Andrey Konchalovskiy,Sylvester Stallone,Jack Palance,Brion James,Action Comedy Crime Thriller,English,6.3,tango & cash
Robert Zemeckis,Bruce Willis,Meryl Streep,Isabella Rossellini,Comedy Fantasy Horror,English,6.4,death becomes her
Tom Dey,Xander Berkeley,Jason Connery,Kate Luyben,Action Adventure Comedy Western,English,6.6,shanghai noon
Stuart Baird,Oliver Platt,Joe Morton,J.T. Walsh,Action Adventure Thriller,English,6.4,executive decision
Mark Waters,Madeline Carroll,Ophelia Lovibond,Philip Baker Hall,Comedy Family Fantasy,English,6.0,mr. popper's penguins
Rob Minkoff,Jet Li,Thomas McDonell,Michael Angarano,Action Adventure Fantasy,English,6.6,the forbidden kingdom
Jimmy Hayward,Amy Poehler,Carlos Ponce,Dan Fogler,Adventure Animation Comedy Family,English,5.9,free birds
David Fincher,Charles S. Dutton,Holt McCallany,Paul McGann,Action Horror Sci-Fi,English,6.4,alien 3
Alan Parker,Andrea Corr,Jimmy Nail,Peter Polycarpou,Biography Drama History Musical,English,6.3,evita
John Frankenheimer,Robert De Niro,Natascha McElhone,Michael Lonsdale,Action Adventure Crime Thriller,English,7.3,ronin
Stephen Hopkins,Tom Wilkinson,Bernard Hill,Om Puri,Adventure Drama Horror Thriller,English,6.8,the ghost and the darkness
Paul King,Julie Walters,Matt Lucas,Sally Hawkins,Animation Comedy Family Fantasy,English,7.2,paddington
Akiva Schaffer,Will Forte,Nicholas Braun,Rosemarie DeWitt,Action Comedy Sci-Fi,English,5.7,the watch
William Friedkin,Connie Nielsen,Jenna Boyd,Rex Linn,Action Crime Drama Thriller,English,6.0,the hunted
Jon Turteltaub,Anthony Hopkins,Maura Tierney,John Ashton,Drama Thriller,English,6.5,instinct
Bobby Farrelly,Matt Damon,Terence Bernie Hines,Seymour Cassel,Comedy,English,5.8,stuck on you
Kent Alterman,Will Ferrell,Maura Tierney,Matt Walsh,Comedy Sport,English,5.8,semi-pro
Peter Lord,Salma Hayek,Russell Tovey,Brian Blessed,Adventure Animation Comedy Family,English,6.7,the pirates! band of misfits
Clint Eastwood,Angelina Jolie Pitt,Michael Kelly,Colm Feore,Crime Drama Mystery Thriller,English,7.8,changeling
Andrew Davis,Keanu Reeves,Morgan Freeman,Kevin Dunn,Action Drama Sci-Fi Thriller,English,5.6,chain reaction
Tony Scott,Robert De Niro,Kurt Fuller,Ellen Barkin,Action Drama Sport Thriller,English,5.8,the fan
Joel Schumacher,Gerard Butler,Minnie Driver,Miranda Richardson,Drama Musical Romance Thriller,English,7.4,the phantom of the opera
Shekhar Kapur,Eddie Redmayne,Abbie Cornish,Jordi Mollà,Biography Drama History War,English,6.9,elizabeth: the golden age
Karyn Kusama,Charlize Theron,Sophie Okonedo,Paterson Joseph,Action Sci-Fi,English,5.5,æon flux
Ron Maxwell,Billy Campbell,Bruce Boxleitner,John Castle,Drama History War,English,6.3,gods and generals
Robert Butler,Hector Elizondo,Lauren Holly,Jeffrey DeMunn,Action Thriller,English,4.7,turbulence
Karey Kirkpatrick,Stephen Root,Ronny Cox,Richard Schiff,Comedy Drama Family Fantasy,English,5.6,imagine that
James Bobin,Ty Burrell,Tina Fey,Hugh Bonneville,Adventure Comedy Crime Family Musical,English,6.4,muppets most wanted
Jonathan Frakes,Sophia Myles,Philip Winchester,Brady Corbet,Action Adventure Comedy Family Sci-Fi,English,4.2,thunderbirds
Steve Antin,Eric Dane,Peter Gallagher,David Walton,Drama Music Musical Romance,English,6.4,burlesque
Jean-Pierre Jeunet,Denis Lavant,André Dussollier,Albert Dupontel,Drama Mystery Romance War,French,7.7,a very long engagement
Stanley Kubrick,James Mason,Shelley Winters,Lois Maxwell,Crime Drama Romance,English,7.7,lolita
Jim Gillespie,Sylvester Stallone,Tom Berenger,Charles S. Dutton,Crime Horror Mystery Thriller,English,5.3,eye see you
Guillermo del Toro,Norman Reedus,Thomas Kretschmann,Tony Curran,Action Horror Sci-Fi Thriller,English,6.7,blade ii
Gabriele Muccino,Will Smith,Rosario Dawson,Madison Pettis,Drama Romance,English,7.7,seven pounds
Walter Hill,Sylvester Stallone,Jason Momoa,Jon Seda,Action Thriller,English,5.7,bullet to the head
Francis Ford Coppola,Al Pacino,Joe Mantegna,Bridget Fonda,Crime Drama,English,7.6,the godfather: part iii
Cameron Crowe,Orlando Bloom,Kirsten Dunst,Judy Greer,Comedy Drama Romance,English,6.4,elizabethtown
Anthony Russo,Todd Stashwick,Billy Gardell,Amanda Detmer,Comedy Romance,English,5.6,"you, me and dupree"
Richard Lester,Margot Kidder,Ned Beatty,Jackie Cooper,Action Adventure Romance Sci-Fi,English,6.8,superman ii
Martin Brest,Todd Giebenhain,Lenny Venito,David Backus,Comedy Crime Romance,English,2.4,gigli
Steven Zaillian,Kate Winslet,Anthony Hopkins,Kevin Dunn,Drama Thriller,English,6.2,all the king's men
John Singleton,Christian Bale,Vanessa Williams,Daniel von Bargen,Action Crime Thriller,English,5.9,shaft
Don Bluth,Kirsten Dunst,Kelsey Grammer,Bernadette Peters,Adventure Animation Drama Family Fantasy Musical Mystery Romance,English,7.1,anastasia
Baz Luhrmann,Jim Broadbent,Kylie Minogue,Richard Roxburgh,Drama Musical Romance,English,7.6,moulin rouge!
Harold Becker,Steve Buscemi,Teri Polo,Matt O'Leary,Crime Mystery Thriller,English,5.5,domestic disturbance
Scott Cooper,Johnny Depp,Benedict Cumberbatch,Adam Scott,Biography Crime Drama,English,7.0,black mass
Clint Eastwood,Paul Walker,Chris Bauer,Tom McCarthy,Drama History War,English,7.1,flags of our fathers
F. Gary Gray,Gerard Butler,Leslie Bibb,Michael Kelly,Crime Drama Thriller,English,7.4,law abiding citizen
Robert Rodriguez,Quentin Tarantino,Rosario Dawson,Zoë Bell,Action Horror Thriller,English,7.6,grindhouse
Jonathan Demme,Oprah Winfrey,Kimberly Elise,Hill Harper,Drama History Horror,English,5.9,beloved
Curtis Hanson,Robert Downey Jr.,Robert Duvall,Kelvin Han Yee,Drama Romance Sport,English,5.9,lucky you
Steven Spielberg,Leonardo DiCaprio,Tom Hanks,Jennifer Garner,Biography Crime Drama,English,8.0,catch me if you can
Kathryn Bigelow,Jennifer Ehle,Harold Perrineau,Parker Sawyers,Drama History Thriller,English,7.4,zero dark thirty
Peyton Reed,Jon Favreau,John Michael Higgins,Ann-Margret,Comedy Drama Romance,English,5.8,the break-up
Phyllida Lloyd,Colin Firth,Meryl Streep,Julie Walters,Comedy Family Musical Romance,English,6.3,mamma mia!
Garry Marshall,Bradley Cooper,Taylor Lautner,Anne Hathaway,Comedy Romance,English,5.7,valentine's day
Jay Chandrasekhar,Alice Greczyn,Jessica Simpson,Michael Weston,Action Adventure Comedy,English,5.1,the dukes of hazzard
Terrence Malick,Nick Stahl,Miranda Otto,Dash Mihok,Drama War,English,7.6,the thin red line
David Dobkin,Ryan Reynolds,Olivia Wilde,Mircea Monroe,Comedy Fantasy,English,6.4,the change-up
Milos Forman,Matt Price,Gerry Becker,Tom Dreesen,Biography Comedy Drama,English,7.4,man on the moon
Martin Scorsese,Robert De Niro,Don Rickles,Kevin Pollak,Biography Crime Drama,English,8.2,casino
Pierre Morel,Kasia Smutniak,Amber Rose Revah,Rebecca Dayan,Action Thriller,English,6.5,from paris with love
Paul Hunter,Jaime King,Mako,Victoria Smurfit,Action Comedy Fantasy,English,5.5,bulletproof monk
Bobby Farrelly,Robert Forster,Tony Cox,Rob Moran,Comedy,English,6.5,"me, myself & irene"
Steve Oedekerk,Rob Paulsen,Wanda Sykes,Maurice LaMarche,Animation Comedy Family,English,5.6,barnyard
John Whitesell,Matthew Broderick,Jorge Garcia,Alia Shawkat,Comedy Family,English,4.9,deck the halls
Chris Weitz,Robert Pattinson,Kristen Stewart,Taylor Lautner,Adventure Drama Fantasy Romance,English,4.6,the twilight saga: new moon
Andrew Adamson,Kathleen Freeman,Chris Miller,Bobby Block,Adventure Animation Comedy Family Fantasy,English,7.9,shrek
George Nolfi,Matt Damon,Michael Kelly,Jon Stewart,Romance Sci-Fi Thriller,English,7.1,the adjustment bureau
Kevin Reynolds,Alan Rickman,Morgan Freeman,Michael Wincott,Action Adventure Drama Romance,English,6.9,robin hood: prince of thieves
Cameron Crowe,Tom Cruise,Kelly Preston,Bonnie Hunt,Comedy Drama Romance Sport,English,7.3,jerry maguire
Seth MacFarlane,Mila Kunis,Seth MacFarlane,Tom Skerritt,Comedy Fantasy,English,7.0,ted
James L. Brooks,Lupe Ontiveros,Yeardley Smith,Shirley Knight,Comedy Drama Romance,English,7.7,as good as it gets
Tom Shadyac,Robin Williams,Philip Seymour Hoffman,Monica Potter,Biography Comedy Drama Romance,English,6.7,patch adams
Adam McKay,Harrison Ford,Will Ferrell,Steve Carell,Comedy,English,6.3,anchorman 2: the legend continues
Steven Brill,Steve Buscemi,Adam Sandler,Peter Gallagher,Comedy Romance,English,5.8,mr. deeds
J.J. Abrams,Joel Courtney,AJ Michalka,Zach Mills,Mystery Sci-Fi Thriller,English,7.1,super 8
Steven Soderbergh,Julia Roberts,Albert Finney,Conchata Ferrell,Biography Drama,English,7.3,erin brockovich
Donald Petrie,Matthew McConaughey,Adam Goldberg,Thomas Lennon,Comedy Romance,English,6.4,how to lose a guy in 10 days
Phil Lord,Channing Tatum,Craig Roberts,Amber Stevens West,Action Comedy Crime,English,7.1,22 jump street
Neil Jordan,Brad Pitt,Tom Cruise,Kirsten Dunst,Drama Fantasy Horror,English,7.6,interview with the vampire: the vampire chronicles
Peyton Reed,Bradley Cooper,Zooey Deschanel,Danny Masterson,Comedy Romance,English,6.8,yes man
Rawson Marshall Thurber,Dwayne Johnson,Thomas Kretschmann,Megan Park,Action Comedy Crime,English,6.6,central intelligence
Chris Columbus,Julia Roberts,Liam Aiken,Herbert Russell,Comedy Drama,English,6.7,stepmom
Sean Anders,Will Ferrell,Linda Cardellini,Mark L. Young,Comedy Family,English,6.1,daddy's home
Rob Marshall,Johnny Depp,Meryl Streep,Anna Kendrick,Adventure Comedy Drama Fantasy Musical,English,6.0,into the woods
Spike Lee,Denzel Washington,James Ransone,Peter Gerety,Crime Drama Mystery Thriller,English,7.6,inside man
Brian Helgeland,Bill Duke,Deborah Kara Unger,William Devane,Action Crime Drama Thriller,English,7.1,payback
Frank Marshall,Dylan Walsh,Joe Don Baker,Grant Heslov,Action Adventure Mystery Sci-Fi,English,5.0,congo
Cameron Crowe,Scarlett Johansson,Matt Damon,Stephanie Szostak,Comedy Drama Family,English,7.1,we bought a zoo
Alex Proyas,Nicolas Cage,Ben Mendelsohn,Chandler Canterbury,Drama Mystery Sci-Fi Thriller,English,6.2,knowing
Tom Dey,Bradley Cooper,Matthew McConaughey,Zooey Deschanel,Comedy Romance,English,5.6,failure to launch
Hideo Nakata,Naomi Watts,Gary Cole,Sissy Spacek,Horror Mystery,English,5.4,the ring two
Glenn Ficarra,Ryan Gosling,Emma Stone,Steve Carell,Comedy Drama Romance,English,7.4,"crazy, stupid, love."
Peter Hewitt,Bill Murray,Mark Christopher Lawrence,Michael Monks,Animation Comedy Family Fantasy,English,5.0,garfield
Joe Roth,Jamie Lee Curtis,Cheech Marin,Jake Busey,Comedy Family,English,5.2,christmas with the kranks
Bennett Miller,Philip Seymour Hoffman,Robin Wright,Brad Pitt,Biography Drama Sport,English,7.6,moneyball
Wolfgang Petersen,Kevin Spacey,Morgan Freeman,Rene Russo,Action Drama Thriller,English,6.6,outbreak
Jaume Collet-Serra,Liam Neeson,Nate Parker,Scoot McNairy,Action Mystery Thriller,English,7.0,non-stop
Andy Fickman,Dwayne Johnson,Billy Brown,Tom Everett Scott,Action Adventure Family Fantasy Sci-Fi Thriller,English,5.7,race to witch mountain
James McTeigue,Natalie Portman,Eddie Marsan,Rupert Graves,Action Drama Thriller,English,8.2,v for vendetta
David Dobkin,Fann Wong,Anna-Louise Plowman,Georgina Chapman,Action Adventure Comedy,English,6.2,shanghai knights
unknown,Bernard Hill,Gemma Jones,Nicola Walker,Crime Drama,English,7.9,unforgotten            
Matthew O'Callaghan,Will Ferrell,Frank Welker,Alexander Gould,Adventure Animation Comedy Family,English,6.6,curious george
Angela Robinson,Scoot McNairy,Thomas Lennon,Cheryl Hines,Adventure Comedy Family Fantasy Romance Sport,English,4.7,herbie fully loaded
Gary Fleder,Oliver Platt,Jennifer Esposito,Conrad Goode,Crime Drama Mystery Thriller,English,6.3,don't say a word
Tommy Wirkola,Jeremy Renner,Derek Mears,Ingrid Bolsø Berdal,Action Fantasy Horror,English,6.1,hansel & gretel: witch hunters
Adrian Lyne,Olivier Martinez,Erik Per Sullivan,Chad Lowe,Drama Thriller,English,6.7,unfaithful
D.J. Caruso,Alex Pettyfer,Emily Wickersham,Reuben Langdon,Action Adventure Sci-Fi Thriller,English,6.1,i am number four
Stephen Gaghan,Matt Damon,Amr Waked,Kayvan Novak,Drama Thriller,English,7.0,syriana
Michael Bay,Toby Stephens,James Badge Dale,David Costabile,Action Drama Thriller War,English,7.4,13 hours
Jorge R. Gutiérrez,Channing Tatum,Hector Elizondo,Ana de la Reguera,Adventure Animation Comedy Family Fantasy Romance,English,7.3,the book of life
Richard Loncraine,Jimmy Bennett,Harrison Ford,Mary Lynn Rajskub,Crime Thriller,English,5.8,firewall
Clint Eastwood,Clint Eastwood,Mark Margolis,Scott Glenn,Action Crime Drama Thriller,English,6.7,absolute power
Ridley Scott,Viggo Mortensen,Demi Moore,John Michael Higgins,Action Drama War,English,5.8,g.i. jane
David Fincher,Deborah Kara Unger,Armin Mueller-Stahl,Charles Martinet,Drama Mystery Thriller,English,7.8,the game
Christophe Gans,Radha Mitchell,Deborah Kara Unger,Alice Krige,Adventure Horror Mystery,English,6.6,silent hill
Howard Deutch,Keanu Reeves,Jon Favreau,Faizon Love,Comedy Sport,English,6.5,the replacements
Jon Hurwitz,Alyson Hannigan,Dania Ramirez,Natasha Lyonne,Comedy,English,6.7,american reunion
F. Gary Gray,Kevin Spacey,Michael Cudlitz,Siobhan Fallon Hogan,Action Crime Drama Mystery Thriller,English,7.3,the negotiator
Steven Quale,Matt Walsh,Alycia Debnam-Carey,Scott Lawrence,Action Thriller,English,5.8,into the storm
John Landis,Louis Lombardi,Jon Tenney,Gilbert R. Hill,Action Comedy Crime Thriller,English,5.5,beverly hills cop iii
Joe Dante,Christopher Lee,Robert Picardo,Phoebe Cates,Comedy Fantasy Horror,English,6.3,gremlins 2: the new batch
David Dobkin,Robert Downey Jr.,Robert Duvall,Leighton Meester,Crime Drama,English,7.4,the judge
Mimi Leder,Armin Mueller-Stahl,Holt McCallany,Marcel Iures,Action Thriller,English,5.9,the peacemaker
Alexander Witt,Milla Jovovich,Thomas Kretschmann,Mike Epps,Action Horror Sci-Fi Thriller,English,6.2,resident evil: apocalypse
Beeban Kidron,Colin Firth,Jim Broadbent,Celia Imrie,Comedy Drama Romance,English,5.9,bridget jones: the edge of reason
Carl Franklin,Denzel Washington,Sanaa Lathan,John Billingsley,Crime Drama Romance Thriller,English,6.5,out of time
Steven Seagal,Mike Starr,Joan Chen,Sven-Ole Thorsen,Action Adventure Thriller,English,4.4,on deadly ground
Robert Rodriguez,Taylor Lautner,Kristin Davis,Taylor Dooley,Action Adventure Family Fantasy,English,3.5,the adventures of sharkboy and lavagirl 3-d
Danny Boyle,Leonardo DiCaprio,Virginie Ledoyen,Peter Youngblood Hills,Adventure Drama Thriller,English,6.6,the beach
Garry Marshall,Amber Valletta,Felicity Huffman,Spencer Breslin,Comedy Drama Romance,English,6.0,raising helen
James McTeigue,Shô Kosugi,Ben Miles,Rain,Action Crime Thriller,English,6.4,ninja assassin
Sam Raimi,J.K. Simmons,Kelly Preston,Carmine Giovinazzo,Drama Romance Sport,English,6.5,for love of the game
unknown,David Jason,Bruce Alexander,John Lyons,Crime Drama Mystery,English,7.8,a touch of frost            
Andrew Bergman,Demi Moore,Rumer Willis,Paul Guilfoyle,Comedy Crime Drama Thriller,English,4.3,striptease
Tom Dey,Emma Stone,Judy Greer,Steve Coogan,Comedy Family,English,4.2,marmaduke
Clint Eastwood,Matt Damon,Jay Mohr,Cécile De France,Drama Fantasy,English,6.5,hereafter
Barbet Schroeder,Ryan Gosling,Chris Penn,Agnes Bruckner,Crime Mystery Thriller,English,6.1,murder by numbers
Richard Donner,Muse Watson,Sylvester Stallone,Kelly Rowan,Action Crime Thriller,English,6.3,assassins
Peter Webber,Li Gong,Stephen Walters,Richard Brake,Crime Drama Thriller,English,6.2,hannibal rising
Rob Reiner,Bruce Willis,Tim Matheson,Rita Wilson,Comedy Drama Romance,English,5.9,the story of us
Andrew Niccol,J.D. Evermore,Chandler Canterbury,Rachel Roberts,Action Adventure Romance Sci-Fi Thriller,English,5.9,the host
John McTiernan,Connie Nielsen,Harry Connick Jr.,Tim Daly,Action Crime Drama Mystery Thriller,English,6.5,basic
Clint Eastwood,Clint Eastwood,Anjelica Huston,Rick Hoffman,Action Crime Drama Mystery Thriller,English,6.4,blood work
Tom Tykwer,Naomi Watts,Brían F. O'Byrne,Armin Mueller-Stahl,Action Crime Drama Mystery Thriller,English,6.5,the international
John Carpenter,Steve Buscemi,Valeria Golino,Michelle Forbes,Action Adventure Sci-Fi Thriller,English,5.7,escape from l.a.
unknown,Grey Damon,Brittany Curran,Aaron Hill,Drama Mystery Thriller,English,7.5,twisted            
Brad Bird,Vin Diesel,Harry Connick Jr.,M. Emmet Walsh,Action Adventure Animation Comedy Drama Family Sci-Fi,English,8.0,the iron giant
Wes Anderson,Bill Murray,Anjelica Huston,Matthew Gray Gubler,Adventure Comedy Drama,English,7.3,the life aquatic with steve zissou
Gary Ross,Matthew McConaughey,Donald Watkins,Jessica Collins,Action Biography Drama History War,English,6.7,free state of jones
Alan Parker,Kevin Spacey,Kate Winslet,Matt Craven,Crime Drama Thriller,English,7.5,the life of david gale
Stephen Herek,Christina Milian,Vanessa Ferlito,Kelli Garner,Action Comedy,English,5.4,man of the house
Jaume Collet-Serra,Liam Neeson,Common,Bruce McGill,Action Crime Drama Thriller,English,6.6,run all night
David Cronenberg,Viggo Mortensen,Naomi Watts,Raza Jaffrey,Crime Mystery Thriller,English,7.7,eastern promises
John Stockwell,Paul Walker,James Frain,Ashley Scott,Action Adventure Crime Thriller,English,5.8,into the blue
Luc Besson,Paul Brooke,David Bailie,Rab Affleck,Adventure Biography Drama History War,English,6.4,the messenger: the story of joan of arc
David Gordon Green,Natalie Portman,Zooey Deschanel,James Franco,Adventure Comedy Fantasy,English,5.6,your highness
Jim Sheridan,Naomi Watts,Gregory Smith,Sarah Gadon,Drama Mystery Thriller,English,6.0,dream house
Costa-Gavras,Mia Kirshner,Blythe Danner,William Atherton,Crime Drama Thriller,English,6.2,mad city
Patrick Read Johnson,Joe Mantegna,Lara Flynn Boyle,Cynthia Nixon,Adventure Comedy Crime Drama Family,English,5.9,baby's day out
Roland Joffé,Gary Oldman,Robert Duvall,Demi Moore,Drama Romance,English,5.1,the scarlet letter
Doug Liman,Naomi Watts,Ty Burrell,Brooke Smith,Biography Drama Thriller,English,6.8,fair game
unknown,Julie Benz,Tony Curran,Grant Bowler,Action Drama Sci-Fi,English,7.0,defiance            
Tony Scott,Ian Ziering,Mo'Nique,Edgar Ramírez,Action Biography Crime Drama Thriller,English,6.0,domino
William Friedkin,Michael Biehn,Chazz Palminteri,Linda Fiorentino,Crime Drama Thriller,English,5.1,jade
Mark Neveldine,Gerard Butler,Logan Lerman,Alison Lohman,Action Sci-Fi Thriller,English,5.8,gamer
Richard LaGravenese,Alden Ehrenreich,Zoey Deutch,Pruitt Taylor Vince,Drama Fantasy Romance,English,6.2,beautiful creatures
Danny DeVito,Robin Williams,Vincent Schiavelli,Danny Woodburn,Comedy Crime Drama Thriller,English,6.4,death to smoochy
Ben Stiller,Milla Jovovich,Will Ferrell,Justin Theroux,Comedy,English,4.8,zoolander 2
George Armitage,Morgan Freeman,Andrew Wilson,Willie Nelson,Comedy Crime,English,4.9,the big bounce
Mike Nichols,Judy Greer,Linda Fiorentino,Garry Shandling,Comedy Sci-Fi,English,5.6,what planet are you from?
Patrick Lussier,Nicolas Cage,Billy Burke,Katy Mixon,Action Fantasy Thriller,English,5.5,drive angry
Andrzej Bartkowiak,Chris Klein,Robin Shou,Josie Ho,Action Crime Drama Mystery Thriller,English,3.7,street fighter: the legend of chun-li
James Wong,Jason Statham,Jet Li,Delroy Lindo,Action Sci-Fi Thriller,English,5.9,the one
unknown,Tobias Menzies,Graham McTavish,Stephen Walters,Drama Romance Sci-Fi,English,8.5,outlander            
Renny Harlin,Lauren Holly,Gilbert Gottfried,David Patrick Kelly,Action Adventure Comedy Crime Music Mystery,English,6.3,the adventures of ford fairlane
Richard Curtis,Philip Seymour Hoffman,Charlie Rowe,Tom Sturridge,Comedy Drama Music,English,7.4,pirate radio
Steven Soderbergh,Michael O'Neill,Jacob Vargas,James Lew,Crime Drama Thriller,English,7.6,traffic
Steven Spielberg,Harrison Ford,Julian Glover,Alison Doody,Action Adventure Fantasy,English,8.3,indiana jones and the last crusade
Joe Wright,Kelly Macdonald,Guro Nagelhus Schia,Matthew Macfadyen,Drama Romance,English,6.6,anna karenina
Neill Blomkamp,Hugh Jackman,Sharlto Copley,Jose Pablo Cantillo,Action Crime Drama Sci-Fi Thriller,English,6.9,chappie
Phillip Noyce,Denzel Washington,Angelina Jolie Pitt,Leland Orser,Crime Drama Mystery Thriller,English,6.7,the bone collector
David Fincher,Kristen Stewart,Dwight Yoakam,Mel Rodriguez,Crime Drama Thriller,English,6.8,panic room
Chuck Bowman,P.J. Soles,Lochlyn Munro,Steve Bacic,Horror Thriller,English,4.6,the tooth fairy
David O. Russell,Judy Greer,Jamie Kennedy,Mykelti Williamson,Action Adventure Comedy Drama War,English,7.1,three kings
Daniel Espinosa,Tom Hardy,Fares Fares,Michael Nardone,Crime Drama Thriller,English,6.4,child 44
Jerry Zucker,Corinna Harney,Douglas Haase,Vince Vieluf,Adventure Comedy,English,6.4,rat race
Iain Softley,Kevin Spacey,Jeff Bridges,Alfre Woodard,Drama Mystery Sci-Fi,English,7.4,k-pax
James Mangold,Hugh Jackman,Natasha Lyonne,Bradley Whitford,Comedy Fantasy Romance,English,6.4,kate & leopold
Harold Ramis,Brendan Fraser,Frances O'Connor,Brian Doyle-Murray,Comedy Fantasy Romance,English,6.0,bedazzled
Francis Ford Coppola,Nicolas Cage,Bob Hoskins,Fred Gwynne,Crime Drama Music,English,6.5,the cotton club
James Mangold,Christian Bale,Logan Lerman,Gretchen Mol,Adventure Crime Drama Western,English,7.8,3:10 to yuma
Olivier Megaton,Liam Neeson,Dougray Scott,Jon Gries,Action Thriller,English,6.0,taken 3
